priority,capability_id,capability_name,gap_type,recommended_screen,recommended_feature,source_or_algorithm,runtime_service,endpoint_or_contract,data_state,origin_classification,required_action
P0_CRITICAL,CAP-6F83F74440AE,Frontend Contract,DATA_STATE_UNVERIFIED,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ASSETS/{ASSET_ID}/DECISION,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-3965B46743DE,Frontend Contract,DATA_STATE_UNVERIFIED,DECISION_ROOM,Decision intelligence workspace,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/REGISTRATIONS/{REGISTRATION_ID}/DECISION,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-7A9637DD3A75,Frontend Contract,DATA_STATE_UNVERIFIED,MARKET_INTELLIGENCE,Market and economic intelligence,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /MARKETS,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-935E1E26D22F,Dqsrisk State,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Define or confirm API/integration contract
P0_CRITICAL,CAP-B89CF4208B10,Grade From Score,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Define or confirm API/integration contract
P0_CRITICAL,CAP-3A5ED3DB0C0D,Risk Label,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Define or confirm API/integration contract
P0_CRITICAL,CAP-98156F574B28,Risk Warnings,API_CONTRACT_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Define or confirm API/integration contract
P0_CRITICAL,CAP-935E1E26D22F,Dqsrisk State,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::DQSRiskState,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-F6B5F7A0A680,Frontend Fields Api,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/ndsp_governance/frontend_fields_api.py,DISCOVERY_REQUIRED,GET /API/NDSP/FRONTEND-FIELDS/PROBE,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-B89CF4208B10,Grade From Score,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/quality/decision_quality_stack.py::_grade_from_score,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-3A5ED3DB0C0D,Risk Label,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_label,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-98156F574B28,Risk Warnings,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,backend/app/support_layers/scenario/scenario_engine.py::_risk_warnings,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-C84121300635,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /TIMING/ENABLE,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-4FF90CCC6DFE,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,GET /POLICY,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-93DD0F3859D4,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /TIMING/DISABLE,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-8A9DD9B6E7D5,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,GET /AUTH-DEBUG,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-AA4ECF6DF3F8,Tdl V2 Policy Admin,DATA_STATE_UNVERIFIED,QUALITY_AND_RISK,Decision quality and risk controls,apps/ndsp-governance-bridge/policies/admin_snapshot/tdl_v2_policy_admin.py,ndsp-governance-bridge.service,POST /POLICY,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-C250957D114F,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ACCOUNT/TRIAL,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-BD19C45FECD0,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /PAYMENTS/CHECKOUT,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-D8194AB79967,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /PAYMENTS/WEBHOOK,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-8BFCC7DDCBE0,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/APPROVE,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-F402D935EFF7,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/PAYMENTS,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-10D53C6D7918,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ADMIN/TRIALS,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-9F3B6AAA223B,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /ADMIN/PAYMENTS/{PAYMENT_ID}/REJECT,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
P0_CRITICAL,CAP-C514A0947E28,Frontend Contract,DATA_STATE_UNVERIFIED,TRIAL_AND_BILLING,"Trial, plans, and billing",backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /ME/SUBSCRIPTION,UNKNOWN,LOCAL_ONLY,Verify real data source and freshness semantics
