capability_id,capability_name,gap_type,source_or_algorithm,runtime_service,endpoint_or_contract,data_state,coverage_state,origin_classification,required_action
CAP-033B90B3A316,Nowpayments Create Alias,NO_UI_MAPPING,backend/app/api/compat/nowpayments_create_alias.py,DISCOVERY_REQUIRED,POST /api/payments/nowpayments/subscription/create,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-045CDA0A73DF,Narrative Engine,NO_UI_MAPPING,backend/app/support_layers/scenario/scenario_engine.py::NarrativeEngine,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-047A94BA516E,Guard Decision Output,NO_UI_MAPPING,apps/ndsp-governance-bridge/policies/governance_runtime.py::guard_decision_output,ndsp-governance-bridge.service,DISCOVERY_REQUIRED,UNKNOWN,SERVICE_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-053711507BDF,Ndsp Canonical User Portal V86,NO_UI_MAPPING,backups/retire-portal-v50-v1/20260727_000318/files/var/www/ndsp-my/ndsp-canonical-user-portal-v86.js::ndsp-canonical-user-portal-v86,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-057725B0553C,App Dl Bvg88,NO_UI_MAPPING,backups/frontend/portal-next_before_v52_0_4_20260725_180559/assets/app-DL-BVG88.js::app-DL-BVG88,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-05B24BFAEF73,Password Reset Server.Before,PARTIAL_TRACEABILITY,backups/auth-recovery-true-source-fix-v7/20260727_195558/password-reset-server.before.js,DISCOVERY_REQUIRED,POST /api/auth/forgot-password,REAL_SNAPSHOT,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-0622719B013B,Ndsp Public Quality Unique,NO_UI_MAPPING,backend/app/api/ndsp_public_quality_unique.py,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-071618E88E83,Frontend Contract,NO_UI_MAPPING,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /me/entitlements,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0780A222F373,Ndsp Telegram Emit V178,NO_UI_MAPPING,scripts/telegram/ndsp_telegram_emit_v178.sh::ndsp_telegram_emit_v178,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,SOURCE_IDENTIFIED,UNTRACKED,Map capability to an approved screen and visible component
CAP-07B8F22B01F0,Postgresql@16 Main,NO_UI_MAPPING,{ path=/usr/bin/pg_ctlcluster ; argv[]=/usr/bin/pg_ctlcluster --skip-systemctl-redirect 16-main start ; ignore_errors=yes ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },postgresql@16-main.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-0809C6D5CA95,Password Reset Server.Before,PARTIAL_TRACEABILITY,backups/auth-recovery-source-and-route-fix-v5/20260727_134806/password-reset-server.before.js,DISCOVERY_REQUIRED,POST /api/auth/reset-password,REAL_SNAPSHOT,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-08273C63D4D2,Quality Result,NO_UI_MAPPING,backend/app/support_layers/quality/decision_quality_stack.py::QualityResult,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,SOURCE_IDENTIFIED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-082D8F1768EE,Schema,NO_UI_MAPPING,backend/auth_api/schema.sql::schema,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-082F5E315BA3,Server,NO_UI_MAPPING,backend/server.js,DISCOVERY_REQUIRED,GET /api/admin/telegram-routing/status,REAL_SNAPSHOT,API_CONNECTED,LOCAL_MODIFIED,Map capability to an approved screen and visible component
CAP-083D4BAC7861,Pl,NO_API_CONTRACT,frontend/public-site/src/i18n/locales/pl.ts::pl,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-0843B421B752,Ndsp User Login Gateway,NO_UI_MAPPING,backend/auth_api/ndsp_user_login_gateway.cjs,ndsp-user-login.service,POST /api/auth/2fa/confirm,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-08CD720F485E,Apply Admin Action,NO_UI_MAPPING,backend/services/ndsp-launch-control-v167/server.py::apply_admin_action,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-08E20E709D83,Path Needs Governance,NO_UI_MAPPING,backend/app/ndsp_governance/decision_output_policy.py::path_needs_governance,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-096B349839D5,El,NO_API_CONTRACT,frontend/public-site/src/i18n/locales/el.ts::el,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-097DF3E4D654,Server,NO_UI_MAPPING,backend/server.js,DISCOVERY_REQUIRED,POST /api/admin/telegram-routing/test,REAL_SNAPSHOT,API_CONNECTED,LOCAL_MODIFIED,Map capability to an approved screen and visible component
CAP-09B689D81772,Ndsp Admin Ui Proxy,NO_UI_MAPPING,backend/auth_api/ndsp_admin_ui_proxy.cjs,ndsp-admin-ui-proxy.service,GET /api/admin-ui/health,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-09BC17001F61,Cot Snapshot,NO_UI_MAPPING,backend/app/support_layers/cot/cot_contracts.py::CotSnapshot,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-09CAABD7BFC5,Staging Schema,NO_UI_MAPPING,docs/05-runbooks/NDSP_COMMERCIAL_STAGING_SOURCE_DEPLOY_V1_12_20260730_102503/work/staging-schema.sql::staging-schema,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-0A50AA991F27,Source Registry,NO_UI_MAPPING,backend/data_foundation/canonical_v1/source_registry.py::source_registry,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,SOURCE_IDENTIFIED,UNTRACKED,Map capability to an approved screen and visible component
CAP-0AB187B5D320,Evaluate L16 Scenario Alerts,NO_UI_MAPPING,backend/ndsp_latest_16_layers_logic_functions.py::evaluate_l16_scenario_alerts,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0AE3805C7273,Decision Entitlement,NO_UI_MAPPING,backend/auth_api/ndsp_user_login_gateway.cjs::decisionEntitlement,ndsp-user-login.service,GET /api/auth/login/health|POST /api/auth/login|POST /api/auth/2fa/login/verify|GET /api/auth/session|GET /api/auth/decision-room-access|POST /api/auth/runtime/usage/consume|GET /api/auth/profile|PUT /api/auth/profile|GET /api/auth/survey/status|POST /api/auth/survey/response|POST /api/auth/events|POST /api/auth/internal/legal-acceptance|POST /api/auth/internal/evidence|POST /api/auth/logout|GET /api/auth/2fa/status|POST /api/auth/2fa/setup|POST /api/auth/2fa/confirm|POST /api/auth/2fa/disable|POST /api/auth/2fa/status|POST /api/auth/2fa/setup/start|POST /api/auth/2fa/setup/confirm|POST /api/auth/2fa/setup/skip|POST /api/auth/2fa/setup/confirm-final|POST /api/auth/2fa/setup/confirm-speakeasy,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0B339EB84BD2,Sync Admin Users Json,NO_UI_MAPPING,backend/auth_api/ndsp_admin_actions_gateway.cjs::syncAdminUsersJson,ndsp-admin-actions.service,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0B34CF6B3DD7,Ndsp V53 Bridge,NO_UI_MAPPING,{ path=/usr/bin/python3 ; argv[]=/usr/bin/python3 /opt/ndsp-v53-bridge/app.py ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },ndsp-v53-bridge.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-0B981CDFF551,Load Users,NO_API_CONTRACT,frontend/admin-console/ndsp-admin-controls.js::loadUsers,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-0BA69D4BCA1A,Server,NO_UI_MAPPING,backend/server.js,DISCOVERY_REQUIRED,GET /admin/users,REAL_SNAPSHOT,API_CONNECTED,LOCAL_MODIFIED,Map capability to an approved screen and visible component
CAP-0BBEEEF914E3,Uk,NO_API_CONTRACT,frontend/public-site/src/i18n/locales/uk.ts::uk,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-0C9603099874,Power Profiles Daemon,NO_UI_MAPPING,{ path=/usr/libexec/power-profiles-daemon ; argv[]=/usr/libexec/power-profiles-daemon ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },power-profiles-daemon.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-0C985C4FB835,Candidate Score,UNKNOWN_DATA,frontend/ndsp-user-portal-v50/public/ndsp-bind-original-back-link-v77.js::candidateScore,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-0CE111E47411,Frontend Contract,NO_UI_MAPPING,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /me/channels/telegram/link,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0D4E2C940F8F,Ndsp Admin Ui Proxy,NO_UI_MAPPING,backend/auth_api/ndsp_admin_ui_proxy.cjs,ndsp-admin-ui-proxy.service,GET /api/admin-ui/backups,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0DBABAAE9B58,Ndsp Button Binding Audit V4,NO_UI_MAPPING,tests/ndsp_button_binding_audit_v4.py::ndsp_button_binding_audit_v4,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0E126A48B80F,Main,NO_UI_MAPPING,backend/services/completed_decision/main.cjs,DISCOVERY_REQUIRED,GET /api/completed/latest,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0E38FB9D8BFB,Snapshots,NO_UI_MAPPING,backend/data_foundation/canonical_v1/snapshots.py::snapshots,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,SOURCE_IDENTIFIED,UNTRACKED,Map capability to an approved screen and visible component
CAP-0E5E7FCC2EEB,Index Ba3D Jycp,NO_UI_MAPPING,backups/commercial-live-preview-no-nginx/20260725_225953/portal-commercial-preview.previous/assets/index-Ba3dJYCp.js::index-Ba3dJYCp,nginx.service,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-0EAF2A429856,Server,PARTIAL_TRACEABILITY,backend/server.js,DISCOVERY_REQUIRED,POST /auth/login,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_MODIFIED,Complete source-service-API-data-UI evidence chain
CAP-0EB9DE63C914,Ndsp Mobile Layout V86,UNKNOWN_DATA,frontend/ndsp-user-portal-v50/public/ndsp-mobile-layout-v86.js::ndsp-mobile-layout-v86,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-0F0D13ED2CEE,Password Reset Server.Before,PARTIAL_TRACEABILITY,backups/auth-recovery-true-source-fix-v7/20260727_200610/password-reset-server.before.js,DISCOVERY_REQUIRED,GET /health,REAL_SNAPSHOT,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-0F233F5BDA2D,Main,NO_UI_MAPPING,backend/services/completed_decision/main.cjs,DISCOVERY_REQUIRED,GET /api/completed/:symbol,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0F5F847E4611,Normalize User,NO_UI_MAPPING,backend/ndsp-access-guard/server.js::normalizeUser,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0FC1797C1FB1,Load Governance,NO_UI_MAPPING,backend/app/ndsp_governance/decision_output_policy.py::load_governance,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-0FD479D80510,Snapd,NO_UI_MAPPING,{ path=/usr/lib/snapd/snapd ; argv[]=/usr/lib/snapd/snapd ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },snapd.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-0FFED1B1BA78,Evaluate Golden Signals,NO_UI_MAPPING,backend/layers/canonical_v1/quality/golden_signals.py::evaluate_golden_signals,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,SOURCE_IDENTIFIED,UNTRACKED,Map capability to an approved screen and visible component
CAP-102062CC9F49,Ndsp Change Password Gateway,NO_UI_MAPPING,{ path=/opt/ndsp-change-password-gateway/venv/bin/uvicorn ; argv[]=/opt/ndsp-change-password-gateway/venv/bin/uvicorn app:app --host 127.0.0.1 --port 9069 ; ignore_errors=no ; start_time=[n/a] ; stop_time=[n/a] ; pid=0 ; code=(null) ; status=0/0 },ndsp-change-password-gateway.service,DISCOVERY_REQUIRED,UNKNOWN,DISCOVERY_REQUIRED,RUNTIME_ONLY,Map capability to an approved screen and visible component
CAP-106E956902F7,Create Service,NO_UI_MAPPING,backend/sdk/devtoolkit/commands/create-service.sh::create-service,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,SOURCE_IDENTIFIED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-10BB3AB3FF7B,Vi,NO_API_CONTRACT,frontend/public-site/src/i18n/locales/vi.ts::vi,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-10D53C6D7918,Frontend Contract,NO_UI_MAPPING,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /admin/trials,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-1103369520D4,Cot Asset Mapping,NO_UI_MAPPING,backend/app/support_layers/cot/cot_contracts.py::CotAssetMapping,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-116FF6D929A9,Ndsp User Login Gateway,NO_UI_MAPPING,backend/auth_api/ndsp_user_login_gateway.cjs,ndsp-user-login.service,GET /api/auth/decision-room-access,REAL_SNAPSHOT,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-119888657162,Row To Decision,NO_UI_MAPPING,backend/services/completed_decision/main.cjs::rowToDecision,DISCOVERY_REQUIRED,GET /health|GET /api/completed|GET /api/completed/latest|GET /api/completed/:symbol|GET /api/completed/id/:decision_id|GET /api/completed/id/:decision_id/timeline|POST /api/completed/ingest|POST /api/completed/:decision_id/publish,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-11BF5E282765,Frontend Contract,NO_UI_MAPPING,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,GET /me/watchlist,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-11F0D3942A02,Market Record,MOCK_DATA,frontend/ndsp-user-portal-v50/assets/ndsp-portal-v50.js::marketRecord,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-11F9C86C3DEA,Admin Candidates,NO_UI_MAPPING,backend/app/api/admin/telegram_routing_admin.py::_admin_candidates,DISCOVERY_REQUIRED,GET /status|POST /update|POST /test|GET /status|POST /update|POST /test,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-124CBB3A55BD,Main,NO_UI_MAPPING,backend/services/bot_execution/main.cjs,DISCOVERY_REQUIRED,GET /api/bot/:symbol,REAL_LIVE,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-1259A13FE6D2,Server,NO_UI_MAPPING,backend/server.js,DISCOVERY_REQUIRED,POST /feedback,REAL_SNAPSHOT,API_CONNECTED,LOCAL_MODIFIED,Map capability to an approved screen and visible component
CAP-125AAFDAE6FE,Index Daww Hlar,NO_UI_MAPPING,backups/commercial-live-preview-no-nginx/20260726_004953/portal-commercial-preview.previous/assets/index-DAWwHLAR.js::index-DAWwHLAR,nginx.service,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-127F45D4B95F,Main,NO_UI_MAPPING,backend/services/bot_execution/main.cjs,DISCOVERY_REQUIRED,POST /api/bot/simulate,REAL_LIVE,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-12A7647C3BED,Admin Page,NO_UI_MAPPING,backend/services/ndsp-launch-control-v167/server.py::admin_page,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-12E31072A87A,Decision Page,MOCK_DATA,frontend/ndsp-user-portal-v50/assets/ndsp-portal-v50.js::decisionPage,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-131B804845E3,Home,UNKNOWN_DATA,frontend/public-site/src/pages/Home.tsx::Home,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,UNKNOWN,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-135FB68865E3,Password Reset Server.Before,PARTIAL_TRACEABILITY,backups/auth-recovery-true-source-fix-v7/20260727_195013/password-reset-server.before.js,DISCOVERY_REQUIRED,GET /health,REAL_SNAPSHOT,UI_PARTIAL,UNTRACKED,Complete source-service-API-data-UI evidence chain
CAP-13D1EE0A3B7A,Ndsp User Dashboard Gateway,NO_UI_MAPPING,backend/ndsp_user_dashboard_gateway.cjs,ndsp-user-dashboard.service,GET /api/user-dashboard/saas-policy,REAL_SNAPSHOT,API_CONNECTED,ON_MAIN,Map capability to an approved screen and visible component
CAP-14607058A46F,Ndsp Login To Portal V90,NO_UI_MAPPING,backups/retire-portal-v50-v1/20260727_000318/files/var/www/ndsp-my/ndsp-login-to-portal-v90.js::ndsp-login-to-portal-v90,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-151D33E801FF,Govern Decision Output,NO_UI_MAPPING,backend/app/ndsp_governance/decision_output_policy.py::govern_decision_output,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-156AED7A28CE,V461 Retry Market,NO_UI_MAPPING,backend/auth_api/ndsp_platform_gateway_9001.cjs::v461RetryMarket,ndsp-platform-gateway.service,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-1598D129F8CC,Server,NO_UI_MAPPING,backend/server.js,DISCOVERY_REQUIRED,GET /admin/stats,REAL_SNAPSHOT,API_CONNECTED,LOCAL_MODIFIED,Map capability to an approved screen and visible component
CAP-15C56B60B4B0,Ndsp User Login Gateway,PARTIAL_TRACEABILITY,backend/ndsp_user_login_gateway.cjs,ndsp-user-login.service,POST /api/auth/logout,REAL_SNAPSHOT,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-15DCBE989F60,Render Trials,NO_API_CONTRACT,frontend/admin-console/ndsp-admin-live-data-override.js::renderTrials,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,ON_MAIN,Complete source-service-API-data-UI evidence chain
CAP-15EF202F7F33,Ndsp Canonical User Portal V79,NO_UI_MAPPING,backups/portal-v50-retire-v2-2/20260727_001938/files/var/www/ndsp-my/ndsp-canonical-user-portal-v79.js::ndsp-canonical-user-portal-v79,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,REAL_LIVE,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-1653A8452D19,Compute From Active Engine,NO_UI_MAPPING,backend/app/api/ndsp_public_quality_unique.py::_compute_from_active_engine,DISCOVERY_REQUIRED,GET /api/ndsp/public/decision-quality|GET /api/ndsp/public/decision-quality,UNKNOWN,SOURCE_IDENTIFIED,LOCAL_ONLY,Map capability to an approved screen and visible component
CAP-16BC3B472E5B,Sync Admin Users Json Safe,NO_UI_MAPPING,backend/ndsp_trial_register_gateway.cjs::syncAdminUsersJsonSafe,ndsp-trial-register.service,DISCOVERY_REQUIRED,REAL_SNAPSHOT,UI_PARTIAL,ON_MAIN,Map capability to an approved screen and visible component
CAP-170A28FFB0E7,Auth,NO_UI_MAPPING,backend/ndsp_admin_ui_proxy.cjs::auth,ndsp-admin-ui-proxy.service,GET /api/admin-ui/health|GET /api/admin-ui/summary|GET /api/admin-ui/users|GET /api/admin-ui/payments|GET /api/admin-ui/trials|GET /api/admin-ui/packages|GET /api/admin-ui/markets|GET /api/admin-ui/alerts|POST /api/admin-ui/alerts/channel|POST /api/admin-ui/alerts/test|GET /api/admin-ui/backups|GET /api/admin-ui/governance|POST /api/admin-ui/action,REAL_SNAPSHOT,UI_PARTIAL,ON_MAIN,Map capability to an approved screen and visible component
CAP-172400D07701,Validate Admin Token,NO_UI_MAPPING,backend/services/ndsp-launch-control-v167/server.py::validate_admin_token,DISCOVERY_REQUIRED,DISCOVERY_REQUIRED,MOCK_ONLY,UI_PARTIAL,UNTRACKED,Map capability to an approved screen and visible component
CAP-1736E39D1CE4,Frontend Contract,NO_UI_MAPPING,backend/app/api/v1/frontend_contract.py,DISCOVERY_REQUIRED,POST /auth/magic-link,UNKNOWN,API_CONNECTED,LOCAL_ONLY,Map capability to an approved screen and visible component
